Pirkka kookosmaito 400ml; 6410402020669; 25/05/2024
Pirkka tomaattimurska 500g; 6410402011865; 31/01/2024
Jenkki Fresh mint; 6420256011263; 27.04.24
Sol&Mar Patatas fritas 200g; ; 27.12.2022
Risella Basmatiriisi 1,1kg; 8410184041584; 09-2024
Deluxe Minipotato Gratins Emmental Cheese; ; 04/07/2024
Duc De Coeur Pommes Noisettes; ; 01 2025
Alpen Fest Sachertorte; ; 02.01.2024
Duc De Coeur Profiteroles; ; 17/12/2023
Deluxe MiniIceCream Mocha&Hazelnut; ; 22-11-2024
Deluxe IceCream Walnut&Honey; ; 12-06-2024
Deluxe IceCream Salted Caramel; ; 13-06-2024
Duc De Coeur Chocolate Fondants; ; 05/0724
Duc De Coeur Chocolate Tart; ; 07/2023
Duc De Coeur Tarte Tatin; ; 07/2023
Italiamo IceCream Tiramisu; ; 09/2024
Vitasia IceCream Green Tea&Lemon; ; 06/24
Italiamo IceCream Lemon; ; 05/2024
Sol&Mar Orange Swirl; ; 03/2023
Deluxe Cheese Croquettes; ; 25/08/2023
Sol&Mar Helado de limon; ; 05/2024
Sol&Mar Helado de naranja; ; 05/2024
MyllynParas Pasteija Tomaatti-mozzarella; ; 08.05.2023
Deluxe Duchess Potatoes; ; 01 10 2023
Deluxe Duchess Potatoes; ; 20 09 2024
Duc De Coeur Cocktail Nibbles; ; 19/02/2024
Duc De Coeur Cocktail Nibbles; ; 19/02/2024
Duc De Coeur Profiteroles; ; 17/12/2023
Deluxe Macarons; ; 07/2024
Deluxe Macarons; ; 07/2024
Duc De Coeur etana; ; 31.08.2024
Duc De Coeur etana; ; 31.08.2024